,source_id_lattes,target_id_lattes,academic_degree,start_year,conclusion_year,course,institution,thesis,major_area,area
808639,2195178556332713,4211545174511775,mestrado,2002.0,2006,filosofia,universidade de são paulo,a filosofia de henri poincaré a natureza do conhecimento científico e os paradoxos da teoria dos conjuntos,ciencias humanas,
170064,719941694482158,10103023,mestrado,,2011,medicina anatomia patológica,universidade federal do rio de janeiro,estudo comparativo entre melanomas de novo e melanomas associados a nevos melanocíticos avaliação com microscopia confocal e dermatoscopia,ciencias da saude,
735129,6818139016806030,1733133881085755,doutorado,1992.0,1996,ciências sociais,faculdade de filosofia ciências e letras da universidade de são paulo,nos bares da vida produção cultural e sociabilidade noi centro de são paulo 1940 1950,ciencias humanas,sociologia
198709,10327732,852138048526482,mestrado,2016.0,2018,psiquiatria,universidade federal do rio grande do sul,psicoterapia psicanalítica com pacientes surdos um estudo qualitativo sobre aspectos e adaptações técnicas da prática,,
477708,4227486096919786,10365315,mestrado,,2014,máster en dirección estratégica,universidad europea miguel de cervantes,a influência do comportamento organizacional na capacidade inovadora em setores de aviação do exército,,
1150080,4838297393852726,9980510218800823,mestrado,2017.0,2018,comunicação social,pontifícia universidade católica do rio grande do sul,as organizações como re construções discursivas as interações possíveis na ambiência digital,ciencias sociais aplicadas,
94051,10318721,388562689373578,mestrado,2005.0,2007,gestão e políticas ambientais,faculdade de ciência e tecnologias universidade nova de lisboa,justiça ambiental e participação pública na gestão urbana a iniciativa bairros críticos na cova da moura,ciencias sociais aplicadas,
62102,4923576932176873,255610172260980,mestrado,2010.0,2012,economia,universidade federal de santa catarina,o comportamento dos componentes da volatilidade das ações no brasil no período de 1996 a 2010,ciencias sociais aplicadas,
268129,10053010,1794383786839231,doutorado,1997.0,2000,fisiologia,university of oxford,l arginine nitric oxide pathway in blood cells from chronic renal and heart failure patients,ciencias da saude,
763623,3949476670405833,1913309102412394,mestrado,2015.0,2017,educação psicologia da educação,pontifícia universidade católica de são paulo,as crianças e seus diagnósticos na escola pública uma análise fenomenológica da perspetiva de mães e professoras,,
493797,6076023932215927,10390574,mestrado,,2013,arquitetura,universidade federal do rio de janeiro,o conforto acústico no ambiente de trabalho e a percepção dos usuários de escritório corporativo,,
1146518,4800838962828598,8296284681528102,mestrado,2007.0,2008,cultura visual,universidade federal de goiás,agenciamentos e estratégias discursivas da arte contemporânea goiana,linguistica letras e artes,artes
1333542,8326269321397331,7251005625467215,mestrado,2013.0,2015,zoologia,universidade estadual de feira de santana,ecologia trófica e ecomorfologia de espécies do gênero astyanax characidae na chapada diamantina bahia brasil,,
153364,646085361798175,6494294889875294,mestrado,2015.0,2017,informática e gestão do conhecimento,universidade nove de julho,análise da aplicação dos modelos c h a e t shaped para avaliação de competências em profissionais de ti,ciencias exatas e da terra,
210772,905215714401654,3015930558513406,doutorado,2006.0,2010,psicologia,universidade de filosofia ciências e letras de ribeirão preto usp rp,intervenção cognitivo comportamental pré e pós cirúrgia de revascularização do miocárdio em manaus am,ciencias humanas,
981971,6188864471881525,3398131933142765,doutorado,1992.0,1995,geografia geografia física,universidade de são paulo,o uso de sigs para zoneamento uma abordagem metodologica,ciencias exatas e da terra,
602261,2905858399806945,10552953,mestrado,,2010,mestrado profissional em saúde da família,universidade estácio de sá,percepção do cirugião dentista sobre sua inserção na equipe de saúde da família um estudo de caso em área programática do município do rio de janeiro,ciencias da saude,
195434,836964905424972,1153804087174184,mestrado,2007.0,2009,ciência de alimentos,universidade federal do rio de janeiro,análise proteômica do soro do colostro e leite maduro bovino bos taurus,,
163760,690940791566132,5477317533307159,mestrado,1993.0,1996,letras,universidade federal de juiz de fora,o homem do casaco alemão e um prefácio,linguistica letras e artes,
667598,1325247019367288,6576761622333487,mestrado,1999.0,2002,fitotecnia,universidade de são paulo,distribuição e população de plantas e produtividade de grãos de milho,,
209729,4432823095691983,901058678758518,mestrado,2013.0,2015,ciências aplicadas a produtos para saúde,universidade federal fluminense,desenvolvimento de nanopartículas lipídicas sólidas contendo óleo de copaíba copaifera spp e avaliação da atividade cicatrizante in viivo,ciencias da saude,
835449,2360365860775097,9882811870272232,mestrado,2009.0,2011,memória social e patrimônio cultural,universidade federal de pelotas,os acervos documentais referentes aos salões de arte de pelotas 1977 1981 história e memória,ciencias sociais aplicadas,ciência da informação
811608,2213621728469564,4556033791893713,doutorado,2001.0,2004,estudos literários,universidade federal de minas gerais,fronteiras da nação em cornélio penna,linguistica letras e artes,
606728,9142178397070079,10559642,pos-doutorado,,2016,,universidade estadual do maranhão,,,
462035,10341816,5383116062143281,mestrado,1968.0,1970,engenharia mecânica,pontifícia universidade católica do rio de janeiro,tubos cilíndricos circulares de comprimento finito submetidos a um anel de pressão uniforme,engenharias,
220801,7099358581242986,948577599476376,mestrado,2003.0,2005,geografia,universidade federal fluminense,a hegemonia territorial do grupo andré maggi em mato grosso,,
1051850,3953051373934281,9908201042311710,mestrado,1989.0,1992,fitopatologia,universidade de brasília,estudos sobre pseudomonas syringae pv tomato okabe young dye wilkie avaliação de resistência em tomateiro lycopersicon esculentum mill e sobrevivência epifítica,ciencias agrarias,agronomia
871922,4275343111687273,2603615490605090,doutorado,2010.0,2014,serviço social,pontifícia universidade católica do rio grande do sul,a vitimização de adolescentes nas relações de exploração sexual no município de são borja,,
1160754,4951931552005515,8801997569397443,mestrado,2015.0,2017,psicobiologia,universidade federal de são paulo,estudo de associação genética em larga escala identifica potenciais regiões candidatas para o bruxismo do sono,ciencias da saude,
404096,6286988721312780,10255463,mestrado,,2014,engenharia naval e oceânica,instituto alberto luiz coimbra de pós graduação e pesquisa,desenvolvimento e calibração experimental de modelo numérico baseado em teoria de viga para estimativa da pressão de colapso de dutos flexíveis,,
355936,10182918,2732961357383016,doutorado,2011.0,2015,informação e comunicação em plataformas digitais,universidade de aveiro,a influência da participação em linha do utilizador na produção das webrádios um estudo da campina fm e da rádio comercial,ciencias sociais aplicadas,
